WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4907861 34.0114533)";MULTIPOINT (-118.4907861 34.0114533);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;1;Olympic Dr Eb & Avenida Mazatlan Ns
"MULTIPOINT (-118.4922701 34.0140931)";MULTIPOINT (-118.4922701 34.0140931);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;2;4Th Nb & Colorado Fs
"MULTIPOINT (-118.4933625 34.0150203)";MULTIPOINT (-118.4933625 34.0150203);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;3;4Th Nb & Broadway Ns
"MULTIPOINT (-118.4949244 34.0163321)";MULTIPOINT (-118.4949244 34.0163321);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;4;4Th Nb & Santa Monica Ns
"MULTIPOINT (-118.496885 34.0179525)";MULTIPOINT (-118.496885 34.0179525);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;5;4Th Nb & Arizona Fs
"MULTIPOINT (-118.4980961 34.0190539)";MULTIPOINT (-118.4980961 34.0190539);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;6;4Th Nb & Wilshire Ns
"MULTIPOINT (-118.5000826 34.0207704)";MULTIPOINT (-118.5000826 34.0207704);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;7;4Th Nb & California Fs
"MULTIPOINT (-118.5016493 34.0220619)";MULTIPOINT (-118.5016493 34.0220619);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;8;4Th Nb & Washington Fs
"MULTIPOINT (-118.5032161 34.0234112)";MULTIPOINT (-118.5032161 34.0234112);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;9;4Th Nb & Idaho Fs
"MULTIPOINT (-118.5047229 34.024772)";MULTIPOINT (-118.5047229 34.024772);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;10;4Th Nb & Montana Fs
"MULTIPOINT (-118.50684750000001 34.0265294)";MULTIPOINT (-118.50684750000001 34.0265294);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;11;4Th Nb & Alta Fs
"MULTIPOINT (-118.508289 34.0275495)";MULTIPOINT (-118.508289 34.0275495);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;12;4Th Nb & Marguerita Fs
"MULTIPOINT (-118.5096591 34.0284994)";MULTIPOINT (-118.5096591 34.0284994);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;13;4Th Nb & Georgina Fs
"MULTIPOINT (-118.5106101 34.029151)";MULTIPOINT (-118.5106101 34.029151);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;14;4Th Nb & San Vicente Ns
"MULTIPOINT (-118.5079365 34.0318149)";MULTIPOINT (-118.5079365 34.0318149);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;15;San Vicente Eb & 7Th Ns
"MULTIPOINT (-118.5066603 34.033901)";MULTIPOINT (-118.5066603 34.033901);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;16;San Vicente Eb & 9Th Ns
"MULTIPOINT (-118.50585510000001 34.0363625)";MULTIPOINT (-118.50585510000001 34.0363625);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;17;San Vicente Eb & 11Th Ns
"MULTIPOINT (-118.5040255 34.0395614)";MULTIPOINT (-118.5040255 34.0395614);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;18;San Vicente Eb & 14Th Ns
"MULTIPOINT (-118.5011513 34.0417827)";MULTIPOINT (-118.5011513 34.0417827);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;19;San Vicente Eb & 17Th Ns
"MULTIPOINT (-118.4993634 34.0431478)";MULTIPOINT (-118.4993634 34.0431478);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;20;San Vicente Eb & 19Th Ns
"MULTIPOINT (-118.4968226 34.0451833)";MULTIPOINT (-118.4968226 34.0451833);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;21;San Vicente Eb & 21St Pl Ns
"MULTIPOINT (-118.4949742 34.0466647)";MULTIPOINT (-118.4949742 34.0466647);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;22;San Vicente Eb & 23Rd Ns
"MULTIPOINT (-118.4914643 34.0482989)";MULTIPOINT (-118.4914643 34.0482989);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;23;San Vicente Eb & 26Th Fs
"MULTIPOINT (-118.4897615 34.0486877)";MULTIPOINT (-118.4897615 34.0486877);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;24;San Vicente Eb & Avondale Ns
"MULTIPOINT (-118.4854537 34.049528)";MULTIPOINT (-118.4854537 34.049528);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;25;San Vicente Eb & Bristol Ns
"MULTIPOINT (-118.4807797 34.0504443)";MULTIPOINT (-118.4807797 34.0504443);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;26;San Vicente Eb & Anita Ns
"MULTIPOINT (-118.4746704 34.0516702)";MULTIPOINT (-118.4746704 34.0516702);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;27;San Vicente Eb & Bundy Ns
"MULTIPOINT (-118.4704375 34.0525496)";MULTIPOINT (-118.4704375 34.0525496);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;28;San Vicente Eb & Montana Ns
"MULTIPOINT (-118.4656499 34.0534885)";MULTIPOINT (-118.4656499 34.0534885);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;29;San Vicente Eb & Barrington Ns
"MULTIPOINT (-118.4614309 34.0531812)";MULTIPOINT (-118.4614309 34.0531812);4;San Vicente Blvd - Carlyle Ave;0;Line 4 Westide Pavilion/ Sawtelle and Olympic;4 - San Vicente Blvd - Carlyle Ave - 0 - Line 4 Westide Pavilion/ Sawtelle and Olympic;581682;30;San Vicente Sb & Mayfield Fs
