WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.49247630000001 34.0161003)";MULTIPOINT (-118.49247630000001 34.0161003);20;Santa Monica - Expo Express;0;Rapid 20 Expo-Culver City;20 - Santa Monica - Expo Express - 0 - Rapid 20 Expo-Culver City;583440;1;Broadway Wb & 6Th Fs2
"MULTIPOINT (-118.4928415 34.0143598)";MULTIPOINT (-118.4928415 34.0143598);20;Santa Monica - Expo Express;0;Rapid 20 Expo-Culver City;20 - Santa Monica - Expo Express - 0 - Rapid 20 Expo-Culver City;583440;2;4Th Sb & Santa Monica Place Co
"MULTIPOINT (-118.38795260000001 34.029114)";MULTIPOINT (-118.38795260000001 34.029114);20;Santa Monica - Expo Express;0;Rapid 20 Expo-Culver City;20 - Santa Monica - Expo Express - 0 - Rapid 20 Expo-Culver City;583440;3;National Eb & Venice Fs
"MULTIPOINT (-118.3901293 34.0266186)";MULTIPOINT (-118.3901293 34.0266186);20;Santa Monica - Expo Express;0;Rapid 20 Expo-Culver City;20 - Santa Monica - Expo Express - 0 - Rapid 20 Expo-Culver City;583440;4;Robertson Bl Nb & Venice Bl Ns
"MULTIPOINT (-118.3901293 34.0266186)";MULTIPOINT (-118.3901293 34.0266186);20;Santa Monica - Expo Express;1;Rapid 20 Santa Monica/ 4th and Broadway;20 - Santa Monica - Expo Express - 1 - Rapid 20 Santa Monica/ 4th and Broadway;583443;1;Robertson Bl Nb & Venice Bl Ns
"MULTIPOINT (-118.4922701 34.0140931)";MULTIPOINT (-118.4922701 34.0140931);20;Santa Monica - Expo Express;1;Rapid 20 Santa Monica/ 4th and Broadway;20 - Santa Monica - Expo Express - 1 - Rapid 20 Santa Monica/ 4th and Broadway;583443;2;4Th Nb & Colorado Fs
"MULTIPOINT (-118.4933625 34.0150203)";MULTIPOINT (-118.4933625 34.0150203);20;Santa Monica - Expo Express;1;Rapid 20 Santa Monica/ 4th and Broadway;20 - Santa Monica - Expo Express - 1 - Rapid 20 Santa Monica/ 4th and Broadway;583443;3;4Th Nb & Broadway Ns
