WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.37639950000001 33.9295298)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;1;Green Line Station
"MULTIPOINT (-118.378303 33.9312562)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;2;Aviation Nb & Imperial Fs
"MULTIPOINT (-118.3783473 33.9342428)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;3;Aviation Nb & 111Th Ns
"MULTIPOINT (-118.3783719 33.9417635)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;4;Aviation Nb & 104Th Ns
"MULTIPOINT (-118.3791431 33.9455989)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;5;Century Wb & Aviaton Fs
"MULTIPOINT (-118.3815869 33.945535)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;6;Century Wb & International Ns
"MULTIPOINT (-118.3858989 33.9463651)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;7;Airport Nb & Century Fs
"MULTIPOINT (-118.3871097 33.9492696)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;8;96Th Wb & Airport Fs
"MULTIPOINT (-118.392147 33.9490648)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;9;Lax Transit Center Bay 12
"MULTIPOINT (-118.3957186 33.9488192)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;10;96Th Wb & Sepulveda Ns
"MULTIPOINT (-118.39608870000001 33.9543248)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;11;Sepulveda Nb & Westchester Pkwy Ns
"MULTIPOINT (-118.396134 33.9576277)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;12;Sepulveda Nb & La Tijera Fs
"MULTIPOINT (-118.3966654 33.9599376)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;13;Manchester Wb & Sepulveda Fs
"MULTIPOINT (-118.4006292 33.95991)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;14;Manchester Wb & Kentwood Fs
"MULTIPOINT (-118.4041542 33.9599042)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;15;Manchester Wb & Emerson Ns
"MULTIPOINT (-118.4096164 33.959877)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;16;Manchester Wb & Mc Connell Ns
"MULTIPOINT (-118.413385 33.9598787)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;17;Manchester Wb & Georgetown Ns
"MULTIPOINT (-118.4170006 33.959867)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;18;Manchester Wb & Loyola Fs
"MULTIPOINT (-118.4191053 33.9598489)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;19;Manchester Wb & Lincoln Ns
"MULTIPOINT (-118.4214207 33.9624851)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;20;Lincoln Nb & 83Rd Ns
"MULTIPOINT (-118.4240941 33.9654079)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;21;Lincoln Nb & Lmu Dr Ns
"MULTIPOINT (-118.42754840000001 33.9680181)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;22;Lincoln Nb & Bluff Creek Fs
"MULTIPOINT (-118.4303462 33.9725497)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;23;Lincoln Nb & Jefferson Fs
"MULTIPOINT (-118.4367815 33.9788171)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;24;Lincoln Nb & Fiji Fs
"MULTIPOINT (-118.4392156 33.9808945)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;25;Lincoln Nb & Mindanao Fs
"MULTIPOINT (-118.4407421 33.9823976)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;26;Lincoln Nb & Bali Ns
"MULTIPOINT (-118.4435297 33.9859493)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;27;Lincoln Nb & Maxella Fs
"MULTIPOINT (-118.4480016 33.9907719)";3;Montana Ave - Lincoln Blvd;0;Line 3  UCLA;3 - Montana Ave - Lincoln Blvd - 0 - Line 3  UCLA;581472;28;Lincoln Nb & Washington Bl (Ven) Fs
