WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4717181 33.9879239)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;1;Windward Eb & Main Ns
"MULTIPOINT (-118.4713588 33.9886584)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;2;Main Nb & Market Ns
"MULTIPOINT (-118.4726017 33.9903138)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;3;Main Nb & Westminster Fs
"MULTIPOINT (-118.47390110000001 33.9921515)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;4;Main Nb & Abbot Kinney Ns
"MULTIPOINT (-118.4764201 33.9947943)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;5;Main Nb & Sunset Fs
"MULTIPOINT (-118.4774659 33.9959789)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;6;Main Nb & Rose Ns
"MULTIPOINT (-118.4794421 33.9979309)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;7;Main Nb & Marine Ns
"MULTIPOINT (-118.4808992 33.9994909)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;8;Main Nb & Ashland Ns
"MULTIPOINT (-118.48227730000001 34.0008843)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;9;Main Nb & Hill Ns
"MULTIPOINT (-118.48397110000001 34.0025143)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;10;Main Nb & Ocean Park Fs
"MULTIPOINT (-118.4855212 34.0040345)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;11;Main Nb & Hollister Ns
"MULTIPOINT (-118.48716760000001 34.0055477)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;12;Main Nb & Pacific Ns
"MULTIPOINT (-118.4887528 34.0070903)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;13;Main Nb & Bay Ns
"MULTIPOINT (-118.4908168 34.00812)";1;Santa Monica Blvd - Ucla;0;Line 1 Santa Monica and 6th ONLY;1 - Santa Monica Blvd - Ucla - 0 - Line 1 Santa Monica and 6th ONLY;580569;14;Ocean Nb & Pico Fs
