WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.49247630000001 34.0161003)";MULTIPOINT (-118.49247630000001 34.0161003);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;1;Broadway Wb & 6Th Fs2
"MULTIPOINT (-118.4712444 34.0184298)";MULTIPOINT (-118.4712444 34.0184298);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;1;Pico Eb & 18Th Fs
"MULTIPOINT (-118.4938629 34.0148463)";MULTIPOINT (-118.4938629 34.0148463);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;2;Broadway Wb & 4Th Fs
"MULTIPOINT (-118.4606238 34.0241497)";MULTIPOINT (-118.4606238 34.0241497);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;2;Pico Eb & 28Th Ns
"MULTIPOINT (-118.4948039 34.0139658)";MULTIPOINT (-118.4948039 34.0139658);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;3;Broadway Wb & 3Rd Fs
"MULTIPOINT (-118.4503802 34.0292302)";MULTIPOINT (-118.4503802 34.0292302);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;3;Pico Eb & Bundy Ns
"MULTIPOINT (-118.4954341 34.0116718)";MULTIPOINT (-118.4954341 34.0116718);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;4;Ocean Sb & Colorado Ns
"MULTIPOINT (-118.4353569 34.0367599)";MULTIPOINT (-118.4353569 34.0367599);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;4;Pico Eb & Sepulveda Ns
"MULTIPOINT (-118.4894221 34.0080604)";MULTIPOINT (-118.4894221 34.0080604);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;5;Pico Eb & Main Fs
"MULTIPOINT (-118.4280373 34.0402528)";MULTIPOINT (-118.4280373 34.0402528);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;5;Pico Eb & Westwood Fs
"MULTIPOINT (-118.4833395 34.0119901)";MULTIPOINT (-118.4833395 34.0119901);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;6;Pico Eb & Lincoln Ns
"MULTIPOINT (-118.4087688 34.051)";MULTIPOINT (-118.4087688 34.051);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;6;Pico Eb & Ave Of The Stars Ns
"MULTIPOINT (-118.4712444 34.0184298)";MULTIPOINT (-118.4712444 34.0184298);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;7;Pico Eb & 18Th Fs
"MULTIPOINT (-118.3833222 34.0546569)";MULTIPOINT (-118.3833222 34.0546569);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;7;Pico Eb & Robertson Fs
"MULTIPOINT (-118.4606238 34.0241497)";MULTIPOINT (-118.4606238 34.0241497);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;8;Pico Eb & 28Th Ns
"MULTIPOINT (-118.3756234 34.0531302)";MULTIPOINT (-118.3756234 34.0531302);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;8;Pico Eb & La Cienega Fs
"MULTIPOINT (-118.4503802 34.0292302)";MULTIPOINT (-118.4503802 34.0292302);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;9;Pico Eb & Bundy Ns
"MULTIPOINT (-118.3661831 34.051294)";MULTIPOINT (-118.3661831 34.051294);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;9;Pico Eb & Fairfax Fs
"MULTIPOINT (-118.4353569 34.0367599)";MULTIPOINT (-118.4353569 34.0367599);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;10;Pico Eb & Sepulveda Ns
"MULTIPOINT (-118.344336 34.0478194)";MULTIPOINT (-118.344336 34.0478194);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584339;10;Pico Eb & La Brea Fs
"MULTIPOINT (-118.4280373 34.0402528)";MULTIPOINT (-118.4280373 34.0402528);R7;Rapid 7 Pico Blvd;0;NULL;R7 - Rapid 7 Pico Blvd - 0 - NULL;584310;11;Pico Eb & Westwood Fs
