WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4815377 34.0326101)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;14;Wilshire Eb & 22Nd Ns
"MULTIPOINT (-118.4815377 34.0326101)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;14;Wilshire Eb & 22Nd Ns
"MULTIPOINT (-118.48000140000001 34.0338263)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;15;Wilshire Eb & 24Th Ns
"MULTIPOINT (-118.48000140000001 34.0338263)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;15;Wilshire Eb & 24Th Ns
"MULTIPOINT (-118.4770627 34.0362315)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;16;Wilshire Eb & 26Th Fs
"MULTIPOINT (-118.4770627 34.0362315)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;16;Wilshire Eb & 26Th Fs
"MULTIPOINT (-118.4743987 34.0383654)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;17;Wilshire Eb & Yale Fs
"MULTIPOINT (-118.4743987 34.0383654)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;17;Wilshire Eb & Yale Fs
"MULTIPOINT (-118.47289120000001 34.0395801)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;18;Wilshire Eb & Berkeley Ns
"MULTIPOINT (-118.47289120000001 34.0395801)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;18;Wilshire Eb & Berkeley Ns
"MULTIPOINT (-118.4698587 34.0420459)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;19;Wilshire Eb & Mc Clellan Ns
"MULTIPOINT (-118.4698587 34.0420459)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;19;Wilshire Eb & Mc Clellan Ns
"MULTIPOINT (-118.4675074 34.0438416)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;20;Wilshire Eb & Bundy Ns
