WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.490945 34.0174823)";MULTIPOINT (-118.490945 34.0174823);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;1;7Th Sb & Broadway Ns
"MULTIPOINT (-118.490945 34.0174823)";MULTIPOINT (-118.490945 34.0174823);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;1;7Th Sb & Broadway Ns
"MULTIPOINT (-118.4938629 34.0148463)";MULTIPOINT (-118.4938629 34.0148463);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;1;Broadway Wb & 4Th Fs
"MULTIPOINT (-118.4938629 34.0148463)";MULTIPOINT (-118.4938629 34.0148463);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;1;Broadway Wb & 4Th Fs
"MULTIPOINT (-118.475766 34.0071731)";MULTIPOINT (-118.475766 34.0071731);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;1;Ocean Park Eb & Lincoln Fs
"MULTIPOINT (-118.49247630000001 34.0161003)";MULTIPOINT (-118.49247630000001 34.0161003);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;1;Broadway Wb & 6Th Fs2
"MULTIPOINT (-118.49247630000001 34.0161003)";MULTIPOINT (-118.49247630000001 34.0161003);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;2;Broadway Wb & 6Th Fs2
"MULTIPOINT (-118.49247630000001 34.0161003)";MULTIPOINT (-118.49247630000001 34.0161003);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;2;Broadway Wb & 6Th Fs2
"MULTIPOINT (-118.4946746 34.0128298)";MULTIPOINT (-118.4946746 34.0128298);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;2;2Nd Sb & Colorado Ns
"MULTIPOINT (-118.4946746 34.0128298)";MULTIPOINT (-118.4946746 34.0128298);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;2;2Nd Sb & Colorado Ns
"MULTIPOINT (-118.47392790000001 34.0082975)";MULTIPOINT (-118.47392790000001 34.0082975);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;2;Ocean Park Eb & 11Th Ns
"MULTIPOINT (-118.4938629 34.0148463)";MULTIPOINT (-118.4938629 34.0148463);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;2;Broadway Wb & 4Th Fs
"MULTIPOINT (-118.4938629 34.0148463)";MULTIPOINT (-118.4938629 34.0148463);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;3;Broadway Wb & 4Th Fs
"MULTIPOINT (-118.4938629 34.0148463)";MULTIPOINT (-118.4938629 34.0148463);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;3;Broadway Wb & 4Th Fs
"MULTIPOINT (-118.4920169 34.0113105)";MULTIPOINT (-118.4920169 34.0113105);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;3;Main Sb & City Hall Mb
"MULTIPOINT (-118.4920169 34.0113105)";MULTIPOINT (-118.4920169 34.0113105);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;3;Main Sb & City Hall Mb
"MULTIPOINT (-118.47172140000001 34.0095744)";MULTIPOINT (-118.47172140000001 34.0095744);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;3;Ocean Park Eb & Euclid Fs
"MULTIPOINT (-118.4946746 34.0128298)";MULTIPOINT (-118.4946746 34.0128298);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;3;2Nd Sb & Colorado Ns
"MULTIPOINT (-118.4946746 34.0128298)";MULTIPOINT (-118.4946746 34.0128298);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;4;2Nd Sb & Colorado Ns
"MULTIPOINT (-118.4946746 34.0128298)";MULTIPOINT (-118.4946746 34.0128298);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;4;2Nd Sb & Colorado Ns
"MULTIPOINT (-118.4898627 34.0081478)";MULTIPOINT (-118.4898627 34.0081478);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;4;Main Sb & Pico Ns
"MULTIPOINT (-118.4898627 34.0081478)";MULTIPOINT (-118.4898627 34.0081478);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;4;Main Sb & Pico Ns
"MULTIPOINT (-118.4703894 34.010335)";MULTIPOINT (-118.4703894 34.010335);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;4;Ocean Park Eb & 14Th Ns
"MULTIPOINT (-118.4920169 34.0113105)";MULTIPOINT (-118.4920169 34.0113105);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;4;Main Sb & City Hall Mb
"MULTIPOINT (-118.4920169 34.0113105)";MULTIPOINT (-118.4920169 34.0113105);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;5;Main Sb & City Hall Mb
"MULTIPOINT (-118.4920169 34.0113105)";MULTIPOINT (-118.4920169 34.0113105);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;5;Main Sb & City Hall Mb
"MULTIPOINT (-118.4891252 34.0072672)";MULTIPOINT (-118.4891252 34.0072672);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;5;Main Sb & Bay Ns
"MULTIPOINT (-118.4891252 34.0072672)";MULTIPOINT (-118.4891252 34.0072672);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;5;Main Sb & Bay Ns
"MULTIPOINT (-118.467131 34.0122195)";MULTIPOINT (-118.467131 34.0122195);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;5;Ocean Park Eb & 17Th Ns
"MULTIPOINT (-118.4898627 34.0081478)";MULTIPOINT (-118.4898627 34.0081478);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;5;Main Sb & Pico Ns
"MULTIPOINT (-118.4898627 34.0081478)";MULTIPOINT (-118.4898627 34.0081478);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;6;Main Sb & Pico Ns
"MULTIPOINT (-118.4898627 34.0081478)";MULTIPOINT (-118.4898627 34.0081478);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;6;Main Sb & Pico Ns
"MULTIPOINT (-118.4876115 34.0057001)";MULTIPOINT (-118.4876115 34.0057001);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;6;Main Sb & Pacific Ns
"MULTIPOINT (-118.4876115 34.0057001)";MULTIPOINT (-118.4876115 34.0057001);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;6;Main Sb & Pacific Ns
"MULTIPOINT (-118.4638168 34.0141667)";MULTIPOINT (-118.4638168 34.0141667);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;6;Ocean Park Eb & 21St Ns
"MULTIPOINT (-118.4891252 34.0072672)";MULTIPOINT (-118.4891252 34.0072672);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;6;Main Sb & Bay Ns
"MULTIPOINT (-118.4891252 34.0072672)";MULTIPOINT (-118.4891252 34.0072672);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582376;7;Main Sb & Bay Ns
"MULTIPOINT (-118.4891252 34.0072672)";MULTIPOINT (-118.4891252 34.0072672);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582512;7;Main Sb & Bay Ns
"MULTIPOINT (-118.486286 34.0044139)";MULTIPOINT (-118.486286 34.0044139);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582375;7;Main Sb & Hollister Ns
"MULTIPOINT (-118.486286 34.0044139)";MULTIPOINT (-118.486286 34.0044139);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582510;7;Main Sb & Hollister Ns
"MULTIPOINT (-118.4616087 34.0154761)";MULTIPOINT (-118.4616087 34.0154761);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582374;7;Ocean Park Eb & 23Rd Fs
"MULTIPOINT (-118.4876115 34.0057001)";MULTIPOINT (-118.4876115 34.0057001);8;Ocean Park Blvd - Ucla;0;Line 8 UCLA;8 - Ocean Park Blvd - Ucla - 0 - Line 8 UCLA;582542;7;Main Sb & Pacific Ns
