WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4763996 34.0161836)";MULTIPOINT (-118.4763996 34.0161836);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;1;14Th Nb & Pico Fs
"MULTIPOINT (-118.4695196 34.01512)";MULTIPOINT (-118.4695196 34.01512);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;1;17Th Nb & Pearl Ns
"MULTIPOINT (-118.4789333 34.0183638)";MULTIPOINT (-118.4789333 34.0183638);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;2;14Th Nb & Michigan Ns
"MULTIPOINT (-118.4714177 34.0143856)";MULTIPOINT (-118.4714177 34.0143856);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;2;Pearl Wb & 16Th Ns
"MULTIPOINT (-118.48031810000001 34.0195828)";MULTIPOINT (-118.48031810000001 34.0195828);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;3;14Th Nb & Olympic Ns
"MULTIPOINT (-118.473061 34.0134222)";MULTIPOINT (-118.473061 34.0134222);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;3;Pearl Wb & 14Th Ns
"MULTIPOINT (-118.4822862 34.0212602)";MULTIPOINT (-118.4822862 34.0212602);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;4;14Th Nb & Colorado Ns
"MULTIPOINT (-118.4753746 34.0155493)";MULTIPOINT (-118.4753746 34.0155493);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;4;14Th Nb & Pico Ns
"MULTIPOINT (-118.4842907 34.0230209)";MULTIPOINT (-118.4842907 34.0230209);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;5;14Th Nb & Broadway Fs
"MULTIPOINT (-118.4763996 34.0161836)";MULTIPOINT (-118.4763996 34.0161836);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;5;14Th Nb & Pico Fs
"MULTIPOINT (-118.4860113 34.0244804)";MULTIPOINT (-118.4860113 34.0244804);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;6;14Th Nb & Santa Monica Fs
"MULTIPOINT (-118.4789333 34.0183638)";MULTIPOINT (-118.4789333 34.0183638);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;6;14Th Nb & Michigan Ns
"MULTIPOINT (-118.4874212 34.0256635)";MULTIPOINT (-118.4874212 34.0256635);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;7;14Th Nb & Arizona Fs
"MULTIPOINT (-118.48031810000001 34.0195828)";MULTIPOINT (-118.48031810000001 34.0195828);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;7;14Th Nb & Olympic Ns
"MULTIPOINT (-118.4889897 34.0269177)";MULTIPOINT (-118.4889897 34.0269177);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;8;14Th Nb & Wilshire Fs
"MULTIPOINT (-118.4822862 34.0212602)";MULTIPOINT (-118.4822862 34.0212602);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;8;14Th Nb & Colorado Ns
"MULTIPOINT (-118.4905203 34.0283481)";MULTIPOINT (-118.4905203 34.0283481);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;9;14Th Nb & California Fs
"MULTIPOINT (-118.4842907 34.0230209)";MULTIPOINT (-118.4842907 34.0230209);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;9;14Th Nb & Broadway Fs
"MULTIPOINT (-118.4934758 34.0308069)";MULTIPOINT (-118.4934758 34.0308069);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;10;14Th Nb & Idaho Ns
"MULTIPOINT (-118.4860113 34.0244804)";MULTIPOINT (-118.4860113 34.0244804);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;10;14Th Nb & Santa Monica Fs
"MULTIPOINT (-118.4949733 34.0321097)";MULTIPOINT (-118.4949733 34.0321097);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;11;14Th Nb & Montana Ns
"MULTIPOINT (-118.4874212 34.0256635)";MULTIPOINT (-118.4874212 34.0256635);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;11;14Th Nb & Arizona Fs
"MULTIPOINT (-118.494009 34.0330736)";MULTIPOINT (-118.494009 34.0330736);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;12;Montana Eb & 15Th Fs
"MULTIPOINT (-118.4889897 34.0269177)";MULTIPOINT (-118.4889897 34.0269177);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;12;14Th Nb & Wilshire Fs
"MULTIPOINT (-118.4921119 34.0345998)";MULTIPOINT (-118.4921119 34.0345998);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;13;Montana Eb & 17Th Fs
"MULTIPOINT (-118.4905203 34.0283481)";MULTIPOINT (-118.4905203 34.0283481);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;13;14Th Nb & California Fs
"MULTIPOINT (-118.4896789 34.0365878)";MULTIPOINT (-118.4896789 34.0365878);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;14;Montana Eb & 20Th Ns
"MULTIPOINT (-118.4934758 34.0308069)";MULTIPOINT (-118.4934758 34.0308069);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;14;14Th Nb & Idaho Ns
"MULTIPOINT (-118.4879064 34.0353516)";MULTIPOINT (-118.4879064 34.0353516);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;15;20Th Sb & Idaho Fs
"MULTIPOINT (-118.4949733 34.0321097)";MULTIPOINT (-118.4949733 34.0321097);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583747;15;14Th Nb & Montana Ns
"MULTIPOINT (-118.4865812 34.0342442)";MULTIPOINT (-118.4865812 34.0342442);41;Crosstown Ride;0;Line 41 Crosstown Ride;41 - Crosstown Ride - 0 - Line 41 Crosstown Ride;583745;16;20Th Sb & Washington Ns
