WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4736037 34.0171987)";MULTIPOINT (-118.4736037 34.0171987);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;1;Pico Eb & 16Th Fs
"MULTIPOINT (-118.4712444 34.0184298)";MULTIPOINT (-118.4712444 34.0184298);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;2;Pico Eb & 18Th Fs
"MULTIPOINT (-118.4697269 34.0192793)";MULTIPOINT (-118.4697269 34.0192793);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;3;Pico Eb & 20Th Ns
"MULTIPOINT (-118.4503802 34.0292302)";MULTIPOINT (-118.4503802 34.0292302);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;4;Pico Eb & Bundy Ns
"MULTIPOINT (-118.4461258 34.0240358)";MULTIPOINT (-118.4461258 34.0240358);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;5;Bundy Sb & Ocean Park Fs
"MULTIPOINT (-118.4450209 34.0202065)";MULTIPOINT (-118.4450209 34.0202065);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;6;Bundy Sb & National Ns
"MULTIPOINT (-118.4434425 34.0164902)";MULTIPOINT (-118.4434425 34.0164902);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;7;Bundy Sb & Airport Fs
"MULTIPOINT (-118.4419217 34.0144991)";MULTIPOINT (-118.4419217 34.0144991);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;8;Centinela Sb & Rose Fs
"MULTIPOINT (-118.4401906 34.0122707)";MULTIPOINT (-118.4401906 34.0122707);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;9;Centinela Sb & Woodbine Ns
"MULTIPOINT (-118.4390342 34.010708)";MULTIPOINT (-118.4390342 34.010708);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;10;Centinela Sb & Palms Ns
"MULTIPOINT (-118.4368073 34.0077821)";MULTIPOINT (-118.4368073 34.0077821);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;11;Centinela Sb & Charnock Ns
"MULTIPOINT (-118.43086940000001 34.0049206)";MULTIPOINT (-118.43086940000001 34.0049206);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;12;Venice Eb & Grand View Fs
"MULTIPOINT (-118.4289786 34.0060727)";MULTIPOINT (-118.4289786 34.0060727);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;13;Venice Eb & Inglewood Ns
"MULTIPOINT (-118.4246683 34.008451)";MULTIPOINT (-118.4246683 34.008451);6;Smc Commuter;0;Line 6 SMC Commuter;6 - Smc Commuter - 0 - Line 6 SMC Commuter;581913;14;Venice Eb & Mc Laughlin Ns
