WKT;WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.37639950000001 33.9295298)";MULTIPOINT (-118.37639950000001 33.9295298);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;1;Green Line Station
"MULTIPOINT (-118.392147 33.9490648)";MULTIPOINT (-118.392147 33.9490648);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;2;Lax Transit Center Bay 12
"MULTIPOINT (-118.3957186 33.9488192)";MULTIPOINT (-118.3957186 33.9488192);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;3;96Th Wb & Sepulveda Ns
"MULTIPOINT (-118.41965980000001 33.9604516)";MULTIPOINT (-118.41965980000001 33.9604516);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;4;Lincoln Nb & Manchester Fs
"MULTIPOINT (-118.4303462 33.9725497)";MULTIPOINT (-118.4303462 33.9725497);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;5;Lincoln Nb & Jefferson Fs
"MULTIPOINT (-118.4392156 33.9808945)";MULTIPOINT (-118.4392156 33.9808945);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;6;Lincoln Nb & Mindanao Fs
"MULTIPOINT (-118.4435297 33.9859493)";MULTIPOINT (-118.4435297 33.9859493);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;7;Lincoln Nb & Maxella Fs
"MULTIPOINT (-118.4480016 33.9907719)";MULTIPOINT (-118.4480016 33.9907719);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;8;Lincoln Nb & Washington Bl (Ven) Fs
"MULTIPOINT (-118.4522767 33.993907)";MULTIPOINT (-118.4522767 33.993907);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;9;Lincoln Nb & Venice Ns
"MULTIPOINT (-118.46066930000001 33.9979466)";MULTIPOINT (-118.46066930000001 33.9979466);R3;Rapid 3 Lincoln Bl - Green Line;0;Rapid 3 Santa Monica;R3 - Rapid 3 Lincoln Bl - Green Line - 0 - Rapid 3 Santa Monica;583496;10;Lincoln Nb & California (Ven) Ns
